类别,商品名称,规格等级,计量单位,今日集超均价
粮油,晚籼米,标一,元/500克,2.68
粮油,粳米,标一,元/500克,2.97
粮油,富强粉,,元/500克,3.57
粮油,标准粉,,元/500克,2.49
粮油,花生油,桶装一级,元/5升,107.01
粮油,菜籽油,桶装一级,元/5升,70.6
粮油,大豆油,桶装一级,元/5升,58.03
粮油,调和油,桶装一级,元/5升,67.31
肉禽蛋,猪瘦肉,新鲜,元/500克,14.58
肉禽蛋,猪肋条肉,新鲜,元/500克,15.15
肉禽蛋,牛肉,去骨肉,元/500克,47.01
肉禽蛋,羊肉,带骨肉,元/500克,44.87
肉禽蛋,鸡肉,白条鸡,元/500克,16.17
肉禽蛋,鸭肉,白条鸭,元/500克,16.56
肉禽蛋,普通鸡蛋,新鲜完整,元/500克,6.6
肉禽蛋,普通鸭蛋,新鲜完整,元/500克,8.3
水产,活草鱼,鲜活,元/500克,11.88
水产,活鳙鱼（大头鲢）,鲜活,元/500克,14.08
水产,冻带鱼,冷冻,元/500克,22.21
水产,黄瓜鱼,冰鲜,元/500克,26.9
水产,马胶鱼,冰鲜,元/500克,28.29
水产,鱿鱼,冰鲜,元/500克,50.16
水产,活明虾,鲜活,元/500克,28.25
水产,活花蛤,鲜活,元/500克,10.01
蔬菜,土豆,新鲜,元/500克,2.29
蔬菜,白萝卜,新鲜,元/500克,1.67
蔬菜,红萝卜,新鲜,元/500克,2.23
蔬菜,蒜苔,新鲜,元/500克,8.31
蔬菜,芹菜,新鲜,元/500克,6.87
蔬菜,韭菜,新鲜,元/500克,5.82
蔬菜,油菜(菜心),新鲜,元/500克,4.02
蔬菜,圆白菜,新鲜,元/500克,2.15
蔬菜,大白菜,新鲜,元/500克,2.27
蔬菜,西红柿,新鲜,元/500克,4.09
蔬菜,黄瓜,新鲜,元/500克,3.17
蔬菜,茄子,新鲜,元/500克,3.24
蔬菜,豆角,新鲜,元/500克,6.68
蔬菜,青椒,新鲜,元/500克,5.41
蔬菜,尖椒,新鲜,元/500克,5.07
蔬菜,花菜,新鲜,元/500克,4.94
蔬菜,上海青,新鲜,元/500克,3.42
蔬菜,空心菜,新鲜,元/500克,2.74
水果,苹果,新鲜,元/500克,8.25
水果,香蕉,新鲜,元/500克,4.62
水果,梨,新鲜,元/500克,5.01
水果,脐橙,新鲜,元/500克,4.89
牛奶,纯牛奶,盒装,元/盒(250ml),2.71
